The tick-carrying reference - one row per tune

name  calls  unit  entries  ticks  sha256 of the reference dump
cut_form  6000  2  6000  0  072255bae8042cf13ca63edefaccfc0caf32422399eee3da92feed84d0d5da0c
plain_packed  400  2  400  1758  c4e89260944cd792580d80b25ecb2a7ea64085e7f1fd7bca0de7424ccfe23c7a
plays_once  4001  2  4001  0  0d55d18283f7a350ac60437868abedc2c33f7e87975e3135201eb4ee8c43b1ab
resume_model  5379  2  5379  164311  5941e8567c12216821a6cdcbe8b10b973ba7c0e9ff960a4ca40e68c2a9f1aa2b
retrigger  3001  2  3001  36899  97e727b05bad530bd445397b79e30630ac0c7197d8c828a9af07d04695b37425
ring_form  2200  2  2200  26013  1f6875d9c2d8b4118cf6a9cb45e8f8c8b5131042e6c9a7df5d1a5e15cfd0f578
stored_tiny  40  2  40  0  9282c4d199ae3dc256f33ba30332feb0213ebb081d4cc552a041b98bfb573ed8
unit1  400  1  400  1758  c4e89260944cd792580d80b25ecb2a7ea64085e7f1fd7bca0de7424ccfe23c7a
unit4  400  4  400  1758  e74cbe3413c76229c6861af88b818e2a3e255f92ad8cd5ff0871de2322e84863
wide_ring  7585  1  7585  60442  83720c2987f8c6dcce727c26c7a89f9e87ed87bd0b84c54688d2933f9d1f0d5b
